,_c0,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,cluster
231,232,... >= 200 DM / salary for at least 1 year,6,delay in paying off in the past,furniture/equipment,426,unknown/no savings account,>= 7 yrs,< 20,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,39,none,rent,1,unskilled - resident,0 to 2,no,no,good,0
232,233,... >= 200 DM / salary for at least 1 year,39,no credits taken/all credits paid back duly,car (new),8588,... <  100 DM,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,45,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good,1
233,234,no checking account,30,no credits taken/all credits paid back duly,car (new),3857,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : divorced/separated,none,>= 7 yrs,car or other,40,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good,1
234,235,... < 0 DM,12,no credits taken/all credits paid back duly,others,685,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,female : single,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,25,bank,rent,1,unskilled - resident,0 to 2,no,no,bad,2
235,236,no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,1603,unknown/no savings account,>= 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,55,none,rent,1,skilled employee/official,0 to 2,no,no,good,0
236,237,... >= 200 DM / salary for at least 1 year,21,no credits taken/all credits paid back duly,car (used),2241,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,50,none,rent,2-3,skilled employee/official,0 to 2,no,no,good,0
237,238,no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,2384,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,64,bank,for free,1,unskilled - resident,0 to 2,no,no,good,0
238,239,... >= 200 DM / salary for at least 1 year,4,no credits taken/all credits paid back duly,car (used),601,unknown/no savings account,< 1 yr,>= 35,female : non-single or male : single,none,4 <= ... < 7 yrs,unknown / no property,23,none,for free,1,unskilled - resident,3 or more,no,no,good,2
239,240,... >= 200 DM / salary for at least 1 year,39,no credits taken/all credits paid back duly,car (new),2569,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,no,good,1
240,241,... >= 200 DM / salary for at least 1 year,15,all credits at this bank paid back duly,furniture/equipment,1316,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,female : single,none,1 <= ... < 4 yrs,car or other,47,none,rent,2-3,unskilled - resident,0 to 2,no,no,good,0
241,242,... >= 200 DM / salary for at least 1 year,60,no credits taken/all credits paid back duly,others,10366,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,car or other,42,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good,1
242,243,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,retraining,1568,... <  100 DM,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,car or other,24,none,for free,1,unskilled - resident,0 to 2,no,no,good,2
243,244,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,furniture/equipment,629,100 <= ... <  500 DM,>= 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,car or other,32,bank,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good,2
244,245,... >= 200 DM / salary for at least 1 year,6,critical account/other credits elsewhere,furniture/equipment,1750,100 <= ... <  500 DM,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,car or other,45,bank,rent,1,unskilled - resident,3 or more,no,no,good,0
245,246,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (new),3488,... <  100 DM,4 <= ... < 7 yrs,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,no,no,good,1
246,247,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,furniture/equipment,1800,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,24,none,rent,2-3,skilled employee/official,0 to 2,no,no,good,2
247,248,... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,car (used),4151,... <  100 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,car or other,35,none,rent,2-3,skilled employee/official,0 to 2,no,no,good,1
248,249,... < 0 DM,15,no credits taken/all credits paid back duly,domestic appliances,2631,... <  100 DM,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,25,none,rent,1,unskilled - resident,0 to 2,no,no,good,2
249,250,... >= 200 DM / salary for at least 1 year,21,no credits taken/all credits paid back duly,car (new),5248,... >= 1000 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,good,1
250,251,... < 0 DM,18,existing credits paid back duly till now,others,2899,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,43,none,rent,1,skilled employee/official,3 or more,no,no,good,0
251,252,... < 0 DM,18,existing credits paid back duly till now,domestic appliances,6204,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,unknown / no property,44,none,rent,1,unskilled - resident,3 or more,yes (under customer name),no,good,1
252,253,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,furniture/equipment,804,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,38,none,rent,1,skilled employee/official,0 to 2,no,no,good,0
253,254,... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,furniture/equipment,3595,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,good,1
254,255,... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,car (new),5711,500 <= ... < 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,38,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good,1
255,256,0<= ... < 200 DM,15,no credits taken/all credits paid back duly,retraining,2687,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,car or other,26,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,good,2
256,257,no checking account,15,existing credits paid back duly till now,car (used),3643,unknown/no savings account,>= 7 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,car or other,27,none,rent,2-3,unskilled - resident,0 to 2,no,no,good,2
257,258,... >= 200 DM / salary for at least 1 year,10,all credits at this bank paid back duly,car (used),2146,unknown/no savings account,< 1 yr,>= 35,female : non-single or male : single,none,4 <= ... < 7 yrs,unknown / no property,23,none,for free,2-3,skilled employee/official,0 to 2,no,no,good,2
258,259,no checking account,10,no credits taken/all credits paid back duly,furniture/equipment,2315,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,unknown / no property,52,none,rent,1,unskilled - resident,0 to 2,no,no,good,0
259,260,... >= 200 DM / salary for at least 1 year,5,no credits taken/all credits paid back duly,retraining,3448,unknown/no savings account,4 <= ... < 7 yrs,>= 35,male : married/widowed,none,>= 7 yrs,unknown / no property,74,none,rent,1,unskilled - resident,0 to 2,no,no,good,0
260,261,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,car (used),2708,unknown/no savings account,< 1 yr,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,car or other,27,bank,rent,2-3,unskilled - resident,0 to 2,no,no,good,2
261,262,... >= 200 DM / salary for at least 1 year,11,all credits at this bank paid back duly,others,1393,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,35,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,no,good,2
262,263,0<= ... < 200 DM,10,no credits taken/all credits paid back duly,car (used),1275,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,23,none,rent,1,skilled employee/official,0 to 2,no,no,good,2
263,264,... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,car (used),1313,unknown/no savings account,>= 7 yrs,>= 35,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,20,none,rent,1,skilled employee/official,0 to 2,no,no,good,2
264,265,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,furniture/equipment,1493,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,3 or more,no,no,good,2
265,266,... >= 200 DM / salary for at least 1 year,22,no credits taken/all credits paid back duly,furniture/equipment,2675,100 <= ... <  500 DM,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,40,none,rent,1,skilled employee/official,0 to 2,no,no,good,1
266,267,... < 0 DM,9,no credits taken/all credits paid back duly,furniture/equipment,2118,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,37,none,rent,1,unskilled - resident,3 or more,no,no,good,0
267,268,... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,others,909,100 <= ... <  500 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,car or other,36,none,rent,1,skilled employee/official,0 to 2,no,no,good,2
268,269,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,car (used),1258,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,car or other,22,none,for free,2-3,unskilled - resident,0 to 2,no,no,good,2
269,270,... >= 200 DM / salary for at least 1 year,15,critical account/other credits elsewhere,furniture/equipment,1569,... <  100 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,34,bank,rent,1,unskilled - resident,3 or more,no,no,good,2
270,271,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,car (new),1236,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,car or other,50,none,for free,1,skilled employee/official,0 to 2,no,no,good,0
271,272,... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,car (used),7678,100 <= ... <  500 DM,4 <= ... < 7 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,40,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good,1
272,273,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,domestic appliances,660,100 <= ... <  500 DM,4 <= ... < 7 yrs,25 <= ... < 35,female : single,none,>= 7 yrs,unknown / no property,23,none,for free,1,unskilled - resident,0 to 2,no,no,good,2
273,274,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (used),2835,100 <= ... <  500 DM,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,car or other,53,none,rent,1,skilled employee/official,0 to 2,no,no,good,0
274,275,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (new),2670,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,35,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good,1
275,276,... >= 200 DM / salary for at least 1 year,12,critical account/other credits elsewhere,vacation,3447,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,unknown / no property,35,none,rent,1,unskilled - resident,3 or more,no,no,good,2
276,277,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,furniture/equipment,3568,unknown/no savings account,>= 7 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,54,bank,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good,0
277,278,... < 0 DM,21,all credits at this bank paid back duly,retraining,3652,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,car or other,27,none,rent,2-3,skilled employee/official,0 to 2,no,no,good,1
278,279,no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,3660,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,good,1
279,280,0<= ... < 200 DM,9,no credits taken/all credits paid back duly,furniture/equipment,1126,... <  100 DM,>= 7 yrs,25 <= ... < 35,male : divorced/separated,none,>= 7 yrs,unknown / no property,49,none,rent,1,skilled employee/official,0 to 2,no,no,good,0
280,281,0<= ... < 200 DM,6,existing credits paid back duly till now,furniture/equipment,683,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,< 1 yr,car or other,29,bank,rent,1,skilled employee/official,0 to 2,no,no,good,2
281,282,0<= ... < 200 DM,12,no credits taken/all credits paid back duly,car (used),2251,unknown/no savings account,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,46,none,rent,1,unskilled - resident,0 to 2,no,no,good,0
282,283,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,car (new),4675,... >= 1000 DM,< 1 yr,>= 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,no,good,2
283,284,... < 0 DM,21,existing credits paid back duly till now,others,2353,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : divorced/separated,none,>= 7 yrs,car or other,47,none,rent,2-3,skilled employee/official,0 to 2,no,no,good,0
284,285,no checking account,21,no credits taken/all credits paid back duly,furniture/equipment,3357,500 <= ... < 1000 DM,< 1 yr,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,29,bank,rent,1,skilled employee/official,0 to 2,no,no,good,1
285,286,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,others,672,unknown/no savings account,unemployed,>= 35,female : non-single or male : single,none,>= 7 yrs,unknown / no property,54,none,rent,1,unemployed/unskilled - non-resident,0 to 2,yes (under customer name),no,good,0
286,287,no checking account,6,all credits at this bank paid back duly,furniture/equipment,338,100 <= ... <  500 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,52,none,rent,2-3,skilled employee/official,0 to 2,no,no,good,0
287,288,... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,furniture/equipment,2697,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,32,none,rent,1,skilled employee/official,3 or more,no,no,good,2
288,289,... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,others,2507,100 <= ... <  500 DM,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,real estate,51,none,own,1,unskilled - resident,0 to 2,no,no,good,0
289,290,... >= 200 DM / salary for at least 1 year,15,existing credits paid back duly till now,furniture/equipment,1478,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : single,none,4 <= ... < 7 yrs,unknown / no property,33,bank,rent,2-3,skilled employee/official,0 to 2,no,no,good,2
290,291,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,repairs,3565,... >= 1000 DM,< 1 yr,25 <= ... < 35,male : married/widowed,none,< 1 yr,car or other,37,none,rent,2-3,unskilled - resident,3 or more,no,no,good,0
291,292,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,car (used),2221,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,no,good,2
292,293,... >= 200 DM / salary for at least 1 year,6,all credits at this bank paid back duly,furniture/equipment,1898,... >= 1000 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,34,none,rent,2-3,unskilled - resident,3 or more,no,no,good,2
293,294,... < 0 DM,6,existing credits paid back duly till now,retraining,1449,... <  100 DM,>= 7 yrs,>= 35,male : divorced/separated,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,31,bank,rent,2-3,skilled employee/official,3 or more,no,no,good,2
294,295,... >= 200 DM / salary for at least 1 year,15,existing credits paid back duly till now,car (used),960,500 <= ... < 1000 DM,4 <= ... < 7 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,30,none,rent,2-3,skilled employee/official,0 to 2,no,no,good,2
295,296,... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,car (new),8133,unknown/no savings account,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,30,bank,rent,1,skilled employee/official,0 to 2,no,no,good,1
296,297,... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,car (used),2301,... <  100 DM,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,car or other,22,none,for free,1,skilled employee/official,0 to 2,no,no,good,2
297,298,... >= 200 DM / salary for at least 1 year,6,existing credits paid back duly till now,retraining,1743,... <  100 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,34,none,rent,2-3,unskilled - resident,0 to 2,no,no,good,2
298,299,... < 0 DM,12,no credits taken/all credits paid back duly,car (used),983,500 <= ... < 1000 DM,< 1 yr,>= 35,female : non-single or male : single,none,>= 7 yrs,unknown / no property,19,none,for free,1,unskilled - resident,0 to 2,no,no,good,2
299,300,... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,2320,unknown/no savings account,unemployed,25 <= ... < 35,female : single,none,4 <= ... < 7 yrs,unknown / no property,34,none,rent,2-3,skilled employee/official,0 to 2,no,no,good,2
300,301,no checking account,12,critical account/other credits elsewhere,vacation,339,unknown/no savings account,>= 7 yrs,< 20,female : single,none,< 1 yr,building soc. savings agr./life insurance,45,bank,rent,1,unskilled - resident,0 to 2,no,no,good,0
301,302,0<= ... < 200 DM,24,no credits taken/all credits paid back duly,furniture/equipment,5152,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,25,bank,rent,1,skilled employee/official,0 to 2,no,no,good,1
302,303,0<= ... < 200 DM,24,no credits taken/all credits paid back duly,car (used),3749,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,good,1
303,304,... >= 200 DM / salary for at least 1 year,9,all credits at this bank paid back duly,furniture/equipment,3074,... >= 1000 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,33,none,rent,2-3,skilled employee/official,3 or more,no,no,good,2
304,305,0<= ... < 200 DM,9,no credits taken/all credits paid back duly,furniture/equipment,745,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,28,none,rent,1,unskilled - resident,0 to 2,no,no,bad,2
305,306,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,others,1469,... <  100 DM,>= 7 yrs,< 20,female : single,none,>= 7 yrs,unknown / no property,41,none,for free,1,unskilled - resident,0 to 2,no,no,good,0
306,307,no checking account,6,no credits taken/all credits paid back duly,car (used),1374,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,36,bank,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,good,0
307,308,... >= 200 DM / salary for at least 1 year,6,critical account/other credits elsewhere,others,783,... >= 1000 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,guarantor,1 <= ... < 4 yrs,unknown / no property,26,stores,rent,1,unskilled - resident,3 or more,no,no,good,2
308,309,no checking account,21,no credits taken/all credits paid back duly,furniture/equipment,2606,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,car or other,28,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good,2
309,310,... >= 200 DM / salary for at least 1 year,54,delay in paying off in the past,car (new),9436,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,car or other,39,none,rent,1,unskilled - resident,3 or more,no,no,good,1
310,311,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,furniture/equipment,930,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,65,none,rent,>= 6,skilled employee/official,0 to 2,no,no,good,0
311,312,... >= 200 DM / salary for at least 1 year,48,all credits at this bank paid back duly,car (new),2751,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,38,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,good,1
312,313,... >= 200 DM / salary for at least 1 year,6,all credits at this bank paid back duly,others,250,500 <= ... < 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,41,bank,rent,2-3,unskilled - resident,0 to 2,no,no,good,0
313,314,... < 0 DM,24,no credits taken/all credits paid back duly,others,1201,unknown/no savings account,< 1 yr,< 20,male : married/widowed,none,< 1 yr,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,good,2
314,315,no checking account,6,no credits taken/all credits paid back duly,others,662,unknown/no savings account,< 1 yr,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,unknown / no property,41,none,rent,1,unskilled - resident,3 or more,yes (under customer name),no,good,0
315,316,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,car (new),1300,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,45,bank,own,1,skilled employee/official,3 or more,no,no,good,0
316,317,... >= 200 DM / salary for at least 1 year,24,critical account/other credits elsewhere,retraining,1559,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,40,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good,0
317,318,0<= ... < 200 DM,12,no credits taken/all credits paid back duly,furniture/equipment,3016,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : single,none,< 1 yr,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,no,good,2
318,319,... >= 200 DM / salary for at least 1 year,15,all credits at this bank paid back duly,furniture/equipment,1360,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,31,none,rent,2-3,skilled employee/official,0 to 2,no,no,good,2
319,320,... >= 200 DM / salary for at least 1 year,6,delay in paying off in the past,others,1204,... <  100 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,< 1 yr,real estate,35,bank,for free,1,skilled employee/official,0 to 2,no,yes,good,0
320,321,... >= 200 DM / salary for at least 1 year,10,no credits taken/all credits paid back duly,others,1597,100 <= ... <  500 DM,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,real estate,40,none,for free,1,unskilled - resident,3 or more,no,yes,good,0
321,322,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,furniture/equipment,2073,... <  100 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,co-applicant,1 <= ... < 4 yrs,unknown / no property,28,none,rent,1,skilled employee/official,0 to 2,no,no,good,2
322,323,... >= 200 DM / salary for at least 1 year,11,no credits taken/all credits paid back duly,retraining,2142,500 <= ... < 1000 DM,>= 7 yrs,>= 35,male : divorced/separated,none,1 <= ... < 4 yrs,unknown / no property,28,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good,2
323,324,no checking account,10,all credits at this bank paid back duly,car (used),2132,... >= 1000 DM,< 1 yr,25 <= ... < 35,female : non-single or male : single,co-applicant,4 <= ... < 7 yrs,unknown / no property,27,none,for free,2-3,skilled employee/official,0 to 2,no,yes,good,2
324,325,... >= 200 DM / salary for at least 1 year,10,no credits taken/all credits paid back duly,others,1546,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,31,none,rent,1,unskilled - resident,3 or more,no,yes,good,2
325,326,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,others,1287,500 <= ... < 1000 DM,>= 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,37,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good,0
326,327,... >= 200 DM / salary for at least 1 year,10,no credits taken/all credits paid back duly,others,1418,... <  100 DM,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,35,none,for free,1,unskilled - resident,0 to 2,no,yes,good,2
327,328,0<= ... < 200 DM,6,all credits at this bank paid back duly,others,1343,unknown/no savings account,>= 7 yrs,>= 35,male : married/widowed,none,>= 7 yrs,unknown / no property,46,none,rent,2-3,skilled employee/official,3 or more,no,yes,good,0
328,329,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,others,2662,... >= 1000 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,yes,good,2
329,330,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,furniture/equipment,6070,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,33,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good,1
330,331,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,repairs,1927,... >= 1000 DM,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,33,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good,2
331,332,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,furniture/equipment,2404,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,26,none,rent,2-3,skilled employee/official,0 to 2,no,no,good,2
332,333,... >= 200 DM / salary for at least 1 year,6,all credits at this bank paid back duly,furniture/equipment,1554,unknown/no savings account,4 <= ... < 7 yrs,>= 35,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,24,none,for free,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good,2
